"geneName","teClass","teFamily","teName","pval"
"ZNF157","LTR","ERV1","LTR10B1",1.59601238242
"ZNF157","LTR","ERV1","LTR28",1.42657816218
"ZNF157","LTR","ERV1","LTR12C",2.88562153132
"ZNF157","Retroposon","SVA","SVA_D",2.50718642767
"ZNF157","Retroposon","SVA","SVA_F",6.30971335611
"ZNF157","LTR","ERVL","ERVL-B4-int",76.499977063
"ZNF157","LTR","ERVL","ERVL-E-int",98.1428808507
"ZNF157","LTR","ERVL","HERVL-int",288.334449229
"ZNF157","LTR","ERVL-MaLR","MLT1B",17.5210411847
"ZNF302","LTR","ERV1","MER65C",1.41390330217
"ZNF302","LTR","ERV1","LTR12C",4.2245432038
"ZNF302","LTR","ERV1","LTR12E",1.93202764316
"ZNF302","LTR","ERVL-MaLR","MSTA-int",3.28941198886
"ZNF302","Retroposon","SVA","SVA_D",7.12362563921
"ZNF302","Retroposon","SVA","SVA_E",2.99209259538
"ZNF302","LTR","ERVL","ERVL-B4-int",1.31037737196
"ZNF302","LTR","ERVL","HERVL-int",319.942227513
"ZNF485","LTR","ERVL-MaLR","MSTB1",1.84787695025
"ZNF485","LTR","ERV1","MER4D",1.53137426864
"ZNF485","LTR","ERVL-MaLR","THE1A",1.66940160205
"ZNF485","LTR","ERV1","HERVP71A-int",7.74286948416
"ZNF485","LINE","L1","L1PA13",16.2607874483
"ZNF485","LINE","L1","L1PA14",1.78772257227
"ZNF485","LINE","L1","L1PA15",3.96639028903
"ZNF485","LINE","L1","L1PREC2",2.02073308838
"ZNF485","LINE","L1","L1MC1",30.5697754378
"ZNF485","LINE","L1","L1PA12",1.38891440814
"ZNF485","DNA","TcMar-Tigger","Tigger1",2.18307920686
"ZNF485","LINE","L1","L1MC4a",1.85489138541
"ZNF485","LTR","ERV1","HERVIP10FH-int",3.40022398941
"ZNF485","LTR","ERVK","HERVK14-int",2.36494883035
"ZNF485","LINE","L2","L2c",2.70224779973
"ZNF485","LTR","ERVL","ERVL-B4-int",43.8624368773
"ZNF485","LTR","ERVL","ERVL-E-int",24.4488855292
"ZNF485","LTR","ERVL","HERVL-int",319.942227513
"ZNF485","DNA","hAT-Charlie","MER20",154.663740944
"ZNF671","LTR","ERVL-MaLR","MSTA",4.36164347413
"ZNF671","LINE","L1","L1M4b",15.2902999681
"ZNF671","LTR","ERV1","LTR10F",77.5650899767
"ZNF671","LTR","ERVL","MLT2B3",63.4790164673
"ZNF671","LTR","ERV1","LTR1A2",2.93508676413
"ZNF671","LTR","ERVK","LTR13_",1.39102582519
"ZNF671","LTR","ERVK","LTR13",2.64800154238
"ZNF671","LTR","ERV1","HERVIP10B3-int",4.55472001533
"ZNF671","LTR","ERV1","Harlequin-int",1.75105883827
"ZNF671","LTR","ERVL","ERVL-B4-int",1.72602246314
"ZNF671","LTR","ERVL","HERVL-int",57.7395108784
"ZNF614","SINE","Alu","AluSg4",1.54577110089
"ZNF614","LINE","L1","L1MEc",9.43183956457
"ZNF614","LINE","L1","L1MCa",6.60730388639
"ZNF614","LINE","L1","L1ME1",1.75102269181
"ZNF614","LINE","L1","L1MEd",1.95750074626
"ZNF614","LTR","ERV1","LTR10C",1.80678663289
"ZNF614","LTR","ERVL","MLT2B3",107.683379814
"ZNF614","LTR","ERV1","MER66C",1.87338694406
"ZNF561","LINE","L1","L1PA2",1.86811815878
"ZNF561","LTR","ERV1","LTR10B",1.84385484708
"ZNF561","LTR","ERV1","LTR10B2",1.74592068573
"ZNF561","LTR","ERV1","LTR10A",25.3304718888
"ZNF561","LTR","ERV1","LTR10B1",5.35680782141
"ZNF561","LTR","ERV1","LTR10G",3.5756506479
"ZNF561","LTR","ERV1","LTR10C",155.356377995
"ZNF561","LTR","ERV1","LTR10E",132.721140169
"ZNF561","LTR","ERV1","LTR12E",5.12744058529
"ZNF562","LTR","ERV1","LTR10B",72.65634873
"ZNF562","LTR","ERV1","LTR10B2",92.4530635237
"ZNF562","LTR","ERV1","LTR10A",319.942227513
"ZNF562","LTR","ERV1","LTR10B1",151.496012714
"ZNF562","LTR","ERV1","LTR10G",67.3761886715
"ZNF562","LTR","ERV1","LTR10F",53.7920491413
"ZNF562","LTR","ERV1","LTR10C",20.2625621328
