"geneName","teName","coef","pvalue","padj","pair","teClass","teFamily"
"ZNF506","AluJb",0.641123941890832,1.22511799113314e-16,5.76037183576635e-15,"AluJb:ZNF506","SINE","Alu"
"ZNF506","AluJo",0.655569869849495,1.46694550291482e-17,8.55380689405851e-16,"AluJo:ZNF506","SINE","Alu"
"ZNF506","AluJr4",0.694193926731075,2.72761506845578e-20,2.93232639858463e-18,"AluJr4:ZNF506","SINE","Alu"
"ZNF506","AluJr",0.664416999023043,3.77276391656594e-18,2.52967866129734e-16,"AluJr:ZNF506","SINE","Alu"
"ZNF419","HERVK22-int",0.67701800692698,5.02654240559089e-19,4.09457310885941e-17,"HERVK22-int:ZNF419","LTR","ERVK"
"ZNF484","L1MC5",0.61324241731817,5.43503116035967e-15,1.75331642385342e-13,"L1MC5:ZNF484","LINE","L1"
"ZNF304","MLT1F1",0.623708325404421,1.36850996989698e-15,5.05395464674374e-14,"MLT1F1:ZNF304","LTR","ERVL-MaLR"
"ZNF641","LTR12E",0.662492347866509,5.08926339351986e-18,3.3052944129434e-16,"LTR12E:ZNF641","LTR","ERV1"
"ZNF584","MLT1F-int",0.612392999045878,6.06518632637904e-15,1.93661948575871e-13,"MLT1F-int:ZNF584","LTR","ERVL-MaLR"
"ZIK1","MLT1J1",0.60571476283886,1.42065612199378e-14,4.18296333426503e-13,"MLT1J1:ZIK1","LTR","ERVL-MaLR"
"ZNF169","MER54A",0.633807865944839,3.43996507825689e-16,1.45481116889293e-14,"MER54A:ZNF169","LTR","ERVL"
"ZNF169","MLT1A",0.631610394605858,4.66560164551674e-16,1.91364125269022e-14,"MLT1A:ZNF169","LTR","ERVL-MaLR"
"ZNF154","L1MB7",0.617659073277523,3.05603742396501e-15,1.04217989614384e-13,"L1MB7:ZNF154","LINE","L1"
"ZFP69B","LTR67B",0.693023760882173,3.34812574937897e-20,3.50982645097013e-18,"LTR67B:ZFP69B","LTR","ERVL"
"ZFP69B","MLT1A0",0.6741172483331,8.06498247349687e-19,6.30544822042367e-17,"MLT1A0:ZFP69B","LTR","ERVL-MaLR"
"ZFP69B","MLT1J",0.675979820586051,5.95699408301403e-19,4.7882043719688e-17,"MLT1J:ZFP69B","LTR","ERVL-MaLR"
"ZFP69B","MSTA-int",0.748796593832359,5.58395068658291e-25,1.81896443890588e-22,"MSTA-int:ZFP69B","LTR","ERVL-MaLR"
"ZFP69B","THE1B-int",0.633639420809453,3.52157499280556e-16,1.48642323064458e-14,"THE1B-int:ZFP69B","LTR","ERVL-MaLR"
"ZFP69B","THE1D-int",0.632218301240493,4.28942540462274e-16,1.77689198376007e-14,"THE1D-int:ZFP69B","LTR","ERVL-MaLR"
"ZKSCAN5","MER1A",0.617639740908588,3.06380913567897e-15,1.04471275488603e-13,"MER1A:ZKSCAN5","DNA","hAT-Charlie"
"ZNF33B","LTR67B",0.601212243772008,2.49384581524593e-14,6.94439085558041e-13,"LTR67B:ZNF33B","LTR","ERVL"
"ZNF441","AluSg7",-0.602671861794937,2.08001729278807e-14,5.88662751416969e-13,"AluSg7:ZNF441","SINE","Alu"
"ZNF441","AluY",-0.62649505545017,9.39623409734887e-16,3.58803161315939e-14,"AluY:ZNF441","SINE","Alu"
"ZNF441","AluYc",-0.628894440529855,6.77701736966019e-16,2.66642399031083e-14,"AluYc:ZNF441","SINE","Alu"
"ZNF786","AluJb",-0.616134434002247,3.73178942911215e-15,1.24916914320717e-13,"AluJb:ZNF786","SINE","Alu"
"ZNF786","AluYc",-0.772156406935031,2.25555676969067e-27,1.38471095679682e-24,"AluYc:ZNF786","SINE","Alu"
"ZNF786","HERVK3-int",0.717992128284461,3.37543514213276e-22,5.46834917962012e-20,"HERVK3-int:ZNF786","LTR","ERVK"
"ZNF786","MER21C",0.682948044079882,1.87989274655191e-19,1.67239317404603e-17,"MER21C:ZNF786","LTR","ERVL"
